ipl,4445,50,2000,8000,8,1,6,56,44
dec,microvax-1,810,512,512,8,1,1,18,18
ibm,38/4,1100,768,2000,0,1,1,13,20
ncr,v8585:ii,56,4000,12000,0,1,8,42,62
burroughs,b2925,143,1000,2000,0,5,16,31,22
siemens,7.881-2,26,8000,32000,128,24,32,405,382
ibm,370/158-3,115,512,6000,16,1,6,45,35
honeywell,dps:6/35,330,1000,3000,0,2,4,16,23
sperry,1100/82,50,2000,32000,48,26,52,208,227
nas,as/9040,38,8000,32000,64,8,24,326,267
ibm,38/3,1100,512,1500,0,1,1,7,18
ibm,3083:b,26,8000,32000,0,8,24,277,220
burroughs,b6900,143,2300,6200,0,6,64,61,40
hp,3000/44,105,1000,4000,0,3,24,32,28
hp,3000/40,105,256,2000,0,3,10,26,20
bti,5000,350,64,64,0,1,4,10,15
basf,7/68,50,4000,16000,65,1,8,138,117
burroughs,b5900,143,1500,6300,0,5,32,30,35
cdc,omega:480-iii,50,2000,8000,8,1,5,71,44
sperry,1100/84,50,4000,32000,112,52,104,397,360
